customerID,gender,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn
0218-QNVAS,Male,71,100.55,7113.75,One year,Fiber optic,Bank transfer (automatic),No
0219-QAERP,Male,30,19.8,576.65,One year,No,Credit card (automatic),No
0219-YTZUE,Male,4,84.8,371.9,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0220-EBGCE,Male,2,85.85,167.3,Month-to-month,Fiber optic,Electronic check,Yes
0221-NAUXK,Male,10,19.95,219.5,One year,No,Bank transfer (automatic),No
0221-WMXNQ,Male,4,75.35,273.4,Month-to-month,Fiber optic,Electronic check,No
0222-CNVPT,Male,52,48.8,2555.05,Month-to-month,DSL,Credit card (automatic),No
0224-HJAPT,Male,5,47.15,223.15,Month-to-month,DSL,Electronic check,Yes
0224-NIJLP,Male,8,20.15,165.5,Two year,No,Mailed check,No
0224-RLWWD,Female,2,44.3,89.3,Month-to-month,DSL,Electronic check,No
0225-ZORZP,Male,3,84.3,235.05,Month-to-month,Fiber optic,Electronic check,No
0228-MAUWC,Male,19,59.55,1144.6,Month-to-month,DSL,Electronic check,No
0229-LFJAF,Male,72,69.65,4908.25,Two year,DSL,Bank transfer (automatic),No
0230-UBYPQ,Male,63,36.1,2298.9,One year,DSL,Bank transfer (automatic),No
0230-WEQUW,Male,66,56.6,3789.2,Two year,DSL,Bank transfer (automatic),No
0231-LXVAP,Male,1,75.9,75.9,Month-to-month,Fiber optic,Electronic check,Yes
0233-FTHAV,Female,60,79.2,4765,One year,Fiber optic,Bank transfer (automatic),No
0234-TEVTT,Female,48,45,2196.3,One year,DSL,Credit card (automatic),No
0235-KGSLC,Female,1,85.55,85.55,Month-to-month,Fiber optic,Credit card (automatic),Yes
0236-HFWSV,Male,15,93.35,1444.65,Month-to-month,Fiber optic,Electronic check,Yes
0237-YFUTL,Female,50,109.65,5405.8,Month-to-month,Fiber optic,Bank transfer (automatic),No
0238-WHBIQ,Male,72,89.7,6339.3,Two year,DSL,Credit card (automatic),No
0239-OXEXL,Female,46,84.25,3847.6,Month-to-month,Fiber optic,Mailed check,No
0244-LGNFY,Female,72,92.65,6733,Two year,DSL,Bank transfer (automatic),No
0247-SLUJI,Male,1,19.7,19.7,Month-to-month,No,Mailed check,No
0248-IPDFW,Female,1,50.1,50.1,Month-to-month,DSL,Electronic check,No
0248-PGHBZ,Female,67,92.45,6140.85,Two year,Fiber optic,Bank transfer (automatic),No
0253-ZTEOB,Female,48,79.65,3870.3,Two year,DSL,Electronic check,No
0254-FNMCI,Female,72,109.9,7624.2,Two year,Fiber optic,Electronic check,No
0254-KCJGT,Male,52,81.4,4354.45,One year,DSL,Credit card (automatic),No
0254-WWRKD,Female,67,50.55,3431.75,One year,DSL,Credit card (automatic),No
0256-LTHVJ,Female,28,81.05,2227.1,Month-to-month,Fiber optic,Electronic check,Yes
0257-KXZGU,Female,32,62.45,2045.55,Month-to-month,DSL,Bank transfer (automatic),No
0257-ZESQC,Female,27,75.2,1929.35,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0258-NOKBL,Male,3,90.4,268.45,Month-to-month,Fiber optic,Electronic check,No
0259-GBZSH,Male,2,85.65,181.5,Month-to-month,Fiber optic,Electronic check,Yes
0260-ZDLGK,Female,9,72.9,651.4,Month-to-month,DSL,Mailed check,Yes
0263-FJTQO,Male,50,70.5,3486.65,Two year,DSL,Credit card (automatic),No
0264-CNITK,Female,71,20.1,1389.6,Two year,No,Bank transfer (automatic),No
0265-EDXBD,Male,32,74.9,2303.35,Month-to-month,Fiber optic,Electronic check,Yes
0265-PSUAE,Female,16,100.7,1522.7,Month-to-month,Fiber optic,Bank transfer (automatic),No
0266-CLZKZ,Female,67,105.65,6717.9,Two year,Fiber optic,Bank transfer (automatic),No
0266-GMEAO,Male,72,114.3,8058.55,Two year,Fiber optic,Credit card (automatic),No
0268-QKIWO,Female,3,19.75,58.85,Month-to-month,No,Electronic check,Yes
0269-XFESX,Male,23,24.35,538.5,One year,No,Mailed check,No
0270-THENM,Male,72,69.85,5102.35,Two year,DSL,Bank transfer (automatic),No
0274-JKUJR,Male,7,58.85,465.7,Month-to-month,DSL,Mailed check,No
0277-BKSQP,Male,8,54.4,475.1,Month-to-month,DSL,Electronic check,No
0277-ORXQS,Male,66,50.55,3364.55,Two year,DSL,Bank transfer (automatic),No
0278-YXOOG,Male,5,21.05,113.85,Month-to-month,No,Mailed check,Yes
0280-XJGEX,Male,49,103.7,5036.3,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0281-CNTZX,Male,63,19.95,1234.8,Two year,No,Bank transfer (automatic),No
0282-NVSJS,Female,12,29.3,355.9,Month-to-month,DSL,Mailed check,No
0285-INHLN,Male,27,54.75,1510.3,Month-to-month,DSL,Credit card (automatic),No
0289-IVARM,Female,35,60.55,1982.6,Month-to-month,DSL,Electronic check,No
0292-WEGCH,Female,54,86.2,4524.05,Month-to-month,DSL,Electronic check,No
0295-PPHDO,Male,1,95.45,95.45,Month-to-month,Fiber optic,Electronic check,Yes
0295-QVKPB,Male,5,63.95,318.1,Month-to-month,DSL,Credit card (automatic),No
0297-RBCSG,Male,19,65.35,1231.85,One year,DSL,Bank transfer (automatic),No
0298-XACET,Male,52,50.2,2554,Two year,DSL,Mailed check,No
0301-FIDRB,Female,72,63.8,4684.3,Two year,DSL,Bank transfer (automatic),No
0301-KOBTQ,Male,32,20.05,614.45,Two year,No,Bank transfer (automatic),No
0302-JOIVN,Female,8,101.15,842.9,Month-to-month,Fiber optic,Electronic check,Yes
0303-UNCIP,Male,41,65,2531.8,One year,DSL,Mailed check,No
0303-WMMRN,Male,5,19.25,86.05,Month-to-month,No,Mailed check,No
0305-SQECB,Female,11,36.05,402.6,One year,DSL,Mailed check,No
0306-JAELE,Male,5,96.1,453.4,Month-to-month,Fiber optic,Electronic check,Yes
0307-BCOPK,Female,16,19.05,326.65,One year,No,Mailed check,No
0308-GIQJT,Male,71,105.75,7382.85,One year,Fiber optic,Bank transfer (automatic),No
0308-IVGOK,Female,11,40.4,422.6,One year,DSL,Credit card (automatic),No
0310-MVLET,Female,61,99.15,6010.05,Month-to-month,Fiber optic,Electronic check,Yes
0310-SUCIN,Female,71,84.8,6046.1,One year,DSL,Bank transfer (automatic),No
0310-VQXAM,Male,9,19.85,178.8,Month-to-month,No,Mailed check,No
0311-QYWSS,Female,6,49.45,314.6,Month-to-month,DSL,Electronic check,No
0311-UNPFF,Female,26,88.8,2274.35,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0314-TKOSI,Female,6,55.15,322.9,Month-to-month,DSL,Mailed check,No
0315-LVCRK,Male,11,84.8,888.75,Month-to-month,Fiber optic,Electronic check,No
0318-QUUOB,Male,1,80.55,80.55,Month-to-month,Fiber optic,Electronic check,Yes
0318-ZOPWS,Female,49,20.15,973.35,Two year,No,Bank transfer (automatic),No
0319-QZTCO,Female,3,58.7,168.6,Month-to-month,DSL,Credit card (automatic),No
0320-DWVTU,Female,53,99.5,5424.25,Two year,Fiber optic,Mailed check,No
0320-JDNQG,Male,23,99.85,2331.3,Month-to-month,Fiber optic,Electronic check,Yes
0322-CHQRU,Male,2,45.35,89.5,Month-to-month,DSL,Electronic check,Yes
0322-YINQP,Male,1,48.55,48.55,Month-to-month,DSL,Mailed check,Yes
0323-XWWTN,Male,3,26.4,121.25,Two year,No,Mailed check,No
0324-BRPCJ,Female,68,100.2,6851.65,Month-to-month,Fiber optic,Electronic check,Yes
0325-XBFAC,Male,8,94.7,740.3,Month-to-month,Fiber optic,Electronic check,Yes
0326-VDYXE,Female,70,97.65,6982.5,One year,Fiber optic,Electronic check,No
0327-WFZSY,Male,39,100,3835.55,One year,Fiber optic,Electronic check,No
0328-GRPMV,Female,1,70.1,70.1,Month-to-month,Fiber optic,Electronic check,Yes
0329-GTIAJ,Female,3,97.9,315.3,Month-to-month,Fiber optic,Electronic check,Yes
0330-BGYZE,Male,60,102.5,6157.6,One year,Fiber optic,Bank transfer (automatic),No
0330-IVZHA,Female,5,69.95,330.15,Month-to-month,Fiber optic,Electronic check,Yes
0334-GDDSO,Male,3,81.35,233.7,Month-to-month,Fiber optic,Electronic check,Yes
0334-ZFJSR,Female,55,66.05,3462.1,One year,DSL,Credit card (automatic),No
0336-KXKFK,Male,72,61.2,4390.25,Two year,DSL,Credit card (automatic),No
0336-PIKEI,Male,72,74.4,5360.75,Two year,DSL,Bank transfer (automatic),No
0337-CNPZE,Female,41,106.3,4443.45,Month-to-month,Fiber optic,Electronic check,Yes
0343-QLUZP,Male,60,39.6,2424.5,Two year,DSL,Bank transfer (automatic),No
0345-HKJVM,Female,6,89.3,577.6,Month-to-month,Fiber optic,Electronic check,Yes
0345-XMMUG,Female,46,108.9,4854.3,Two year,Fiber optic,Credit card (automatic),No
0347-UBKUZ,Female,15,19.9,320.45,Month-to-month,No,Mailed check,No
0348-SDKOL,Female,58,102.1,5885.4,Month-to-month,Fiber optic,Credit card (automatic),Yes
0354-VXMJC,Male,23,19.6,426.65,Two year,No,Credit card (automatic),No
0354-WYROK,Female,31,98.9,2911.3,Month-to-month,Fiber optic,Electronic check,Yes
0356-ERHVT,Male,11,45.9,521.9,Month-to-month,DSL,Bank transfer (automatic),No
0356-OBMAC,Female,56,99.9,5706.3,Two year,Fiber optic,Bank transfer (automatic),No
0357-NVCRI,Female,25,20.05,471.7,Month-to-month,No,Credit card (automatic),No
0361-HJRDX,Female,68,64.35,4539.6,Two year,DSL,Credit card (automatic),No
0362-RAOQO,Female,40,19.65,830.25,Two year,No,Credit card (automatic),No
0362-ZBZWJ,Male,36,84.9,3067.2,Month-to-month,Fiber optic,Electronic check,Yes
0363-QJVFX,Male,32,108.15,3432.9,Month-to-month,Fiber optic,Credit card (automatic),Yes
0363-SVHYR,Male,71,86.85,6263.8,Two year,DSL,Bank transfer (automatic),No
0365-BZUWY,Male,17,102.55,1742.5,Month-to-month,Fiber optic,Electronic check,No
0365-GXEZS,Male,18,78.2,1468.75,Month-to-month,Fiber optic,Electronic check,No
0365-TRTPY,Female,37,91.2,3382.3,Month-to-month,Fiber optic,Bank transfer (automatic),No
0366-NQSHS,Male,2,19.35,46.35,Month-to-month,No,Mailed check,No
0369-ZGOVK,Female,28,70.4,1992.2,One year,Fiber optic,Bank transfer (automatic),No
0373-AIVNJ,Male,9,39.55,373,One year,DSL,Mailed check,No
0374-AACSZ,Female,1,50.15,50.15,Month-to-month,DSL,Electronic check,No
0374-FIUCA,Male,65,20.4,1414.45,Two year,No,Credit card (automatic),No
0374-IOEGQ,Female,3,44.6,122.7,Month-to-month,DSL,Electronic check,No
0375-HVGXO,Female,1,34.7,34.7,Month-to-month,DSL,Electronic check,Yes
0376-OIWME,Male,36,93.6,3366.05,Month-to-month,Fiber optic,Electronic check,No
0376-YMCJC,Male,23,90.6,1943.2,Month-to-month,Fiber optic,Electronic check,Yes
0377-JBKKT,Male,22,57.95,1271.8,Month-to-month,DSL,Mailed check,No
0378-CJKPV,Female,72,112.1,7965.95,Two year,Fiber optic,Credit card (automatic),No
0378-NHQXU,Female,17,88.25,1460.65,Month-to-month,Fiber optic,Electronic check,Yes
0378-TOVMS,Female,3,85.8,272.2,Month-to-month,Fiber optic,Electronic check,Yes
0378-XSZPU,Male,58,60.3,3563.8,One year,DSL,Credit card (automatic),Yes
0379-DJQHR,Male,67,81.35,5398.6,Two year,DSL,Credit card (automatic),No
0380-NEAVX,Male,34,99.85,3343.15,One year,Fiber optic,Electronic check,No
0380-ZCSBI,Male,10,20,198.7,Month-to-month,No,Credit card (automatic),No
0383-CLDDA,Female,69,85.35,5897.4,Two year,DSL,Credit card (automatic),No
0384-LPITE,Male,40,62.05,2511.55,One year,DSL,Credit card (automatic),No
0384-RVBPI,Male,20,64.4,1398.6,Month-to-month,DSL,Credit card (automatic),No
0386-CWRGM,Female,46,19.4,967.85,Two year,No,Mailed check,No
0388-EOPEX,Female,2,74.4,139.4,Month-to-month,Fiber optic,Electronic check,Yes
0390-DCFDQ,Female,1,70.45,70.45,Month-to-month,Fiber optic,Mailed check,Yes
0392-BZIUW,Female,72,105,7589.8,Two year,Fiber optic,Credit card (automatic),No
0394-YONDK,Male,70,25.15,1790.15,Two year,No,Credit card (automatic),No
0396-HUJBP,Female,2,19.3,44.4,Month-to-month,No,Mailed check,No
0396-UKGAI,Male,23,55.3,1284.2,Month-to-month,DSL,Bank transfer (automatic),No
0396-YCHWO,Male,36,95.4,3474.2,Month-to-month,Fiber optic,Electronic check,No
0397-GZBBC,Male,59,93.85,5574.75,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0397-ZXWQF,Male,67,20.5,1430.95,Two year,No,Bank transfer (automatic),No
0401-WDBXM,Male,72,105.55,7542.25,Two year,Fiber optic,Bank transfer (automatic),No
0402-CQAJN,Female,37,101.9,3545.35,Month-to-month,Fiber optic,Bank transfer (automatic),Yes
0402-OAMEN,Female,72,24.45,1709.1,Two year,No,Bank transfer (automatic),No
0404-AHASP,Male,72,19.7,1421.9,Two year,No,Credit card (automatic),No
0404-SWRVG,Male,3,74.4,229.55,Month-to-month,Fiber optic,Electronic check,Yes
0406-BPDVR,Female,54,101.5,5373.1,One year,Fiber optic,Credit card (automatic),Yes
0407-BDJKB,Male,60,95.75,5742.9,Month-to-month,Fiber optic,Electronic check,Yes
0409-WTMPL,Female,58,110.65,6526.65,One year,Fiber optic,Credit card (automatic),No
0410-IPFTY,Female,31,83.85,2674.15,Month-to-month,Fiber optic,Bank transfer (automatic),No
0411-EZJZE,Female,3,60.25,170.5,Month-to-month,DSL,Electronic check,No
0412-UCCNP,Male,55,59.2,3175.85,Two year,DSL,Electronic check,No
0415-MOSGF,Female,1,44.4,44.4,Month-to-month,DSL,Mailed check,Yes
0419-YAAPX,Male,49,85.3,4297.95,Month-to-month,Fiber optic,Credit card (automatic),No
0420-BWTPW,Male,8,25.5,215.2,Month-to-month,DSL,Mailed check,Yes
0420-HLGXF,Female,39,99.75,4036,Month-to-month,Fiber optic,Electronic check,No
0420-TXVSG,Male,66,66.1,4428.45,Two year,DSL,Credit card (automatic),No
0422-OHQHQ,Female,15,20.55,295.95,One year,No,Mailed check,No
0422-UXFAP,Female,51,98.85,4947.55,One year,Fiber optic,Electronic check,No
0423-UDIJQ,Male,9,49.2,447.9,Month-to-month,DSL,Mailed check,No
0426-TIRNE,Female,1,20.9,20.9,Month-to-month,No,Mailed check,Yes
0428-AXXLJ,Male,25,19.5,516.3,One year,No,Bank transfer (automatic),No
0428-IKYCP,Male,22,87,1850.65,Month-to-month,Fiber optic,Bank transfer (automatic),No
0430-IHCDJ,Male,15,49,749.25,Month-to-month,DSL,Electronic check,No
0431-APWVY,Female,28,90.1,2598.95,One year,Fiber optic,Bank transfer (automatic),Yes
0432-CAJZV,Male,3,90.7,237.65,Month-to-month,Fiber optic,Mailed check,No
0434-CSFON,Female,47,100.5,4707.1,Month-to-month,Fiber optic,Electronic check,No
0436-TWFFZ,Female,67,85.25,5714.2,Two year,DSL,Mailed check,No
0439-IFYUN,Female,18,74.7,1294.6,Month-to-month,Fiber optic,Electronic check,No
0440-EKDCF,Male,62,60.15,3753.2,Two year,DSL,Credit card (automatic),No
0440-MOGPM,Female,41,80.55,3263.9,One year,DSL,Electronic check,No
0440-QEXBZ,Female,44,50.15,2139.1,Month-to-month,DSL,Mailed check,No
0440-UEDAI,Female,53,94.45,5042.75,One year,Fiber optic,Credit card (automatic),No
0442-TDYUO,Male,48,20.05,1036,Two year,No,Mailed check,No
0442-ZXKVS,Female,54,115.6,6431.05,One year,Fiber optic,Bank transfer (automatic),No
0447-BEMNG,Female,48,45.3,2145,Month-to-month,DSL,Bank transfer (automatic),Yes
0447-RXSGD,Male,24,99.65,2404.85,Month-to-month,Fiber optic,Bank transfer (automatic),No
0454-OKRCT,Male,33,80.6,2651.1,Two year,Fiber optic,Bank transfer (automatic),No
0455-ENTCR,Male,66,85.25,5538.35,Two year,DSL,Electronic check,No
0455-XFASS,Female,3,69.55,200.2,Month-to-month,Fiber optic,Electronic check,No
0458-HEUZG,Female,13,35.4,450.4,Two year,DSL,Mailed check,No
0459-SPZHJ,Male,63,83.5,5435,Two year,DSL,Credit card (automatic),No
0461-CVKMU,Female,23,83.8,1900.25,Month-to-month,Fiber optic,Electronic check,Yes
0463-TXOAK,Male,52,25.6,1334.5,Two year,No,Credit card (automatic),No
0463-WZZKO,Male,3,20.75,67.1,Month-to-month,No,Credit card (automatic),No
0463-ZSDNT,Male,10,56.75,503.25,Month-to-month,DSL,Bank transfer (automatic),No
0464-WJTKO,Female,72,20.1,1460.85,Two year,No,Bank transfer (automatic),No
0468-YRPXN,Male,29,98.8,2807.1,Month-to-month,Fiber optic,Credit card (automatic),No
0471-ARVMX,Female,62,104.85,6312.9,One year,Fiber optic,Electronic check,No
0471-LVHGK,Male,41,73,3001.2,One year,DSL,Electronic check,Yes
0475-RIJEP,Male,43,77.85,3365.85,Month-to-month,Fiber optic,Electronic check,Yes
